"id","uu_row_id","time_created","time_updated","description","recipient","notification_id"
"1","7f4fdfb0-5d3f-11e9-b9fc-005056bb008d","2019-04-12 16:24:51.177475","2019-04-12 16:24:51.177476","Ace Furniture & TV, Inc. ","000","1"
"2","686bb002-5d4a-11e9-87ba-005056bb008d","2019-04-12 17:42:57.236185","2019-04-12 17:42:57.236186","ACE FURNITURE & TV, INC ","001","2"
"3","10b11522-917a-11ea-8f8b-005056bb008d","2020-05-08 22:20:04.029997","2020-05-08 22:20:04.029998","Audit 1 is due today","001","3"
"4","10ce6438-917a-11ea-8f8f-005056bb008d","2020-05-08 22:20:04.222072","2020-05-08 22:20:04.222072","Audit 1 is due today","006","4"
"5","10dc3644-917a-11ea-8f93-005056bb008d","2020-05-08 22:20:04.312645","2020-05-08 22:20:04.312646","Audit 1 is due today","007","5"
"6","10e76e56-917a-11ea-8f97-005056bb008d","2020-05-08 22:20:04.38617","2020-05-08 22:20:04.386171","Audit 1 is due today","010","6"
"7","10f3e122-917a-11ea-8f9b-005056bb008d","2020-05-08 22:20:04.467752","2020-05-08 22:20:04.467752","Audit 1 is due today","014","7"
"8","10fc4416-917a-11ea-8f9f-005056bb008d","2020-05-08 22:20:04.522713","2020-05-08 22:20:04.522714","Audit 1 is due today","101","8"
"9","1107195e-917a-11ea-8fa3-005056bb008d","2020-05-08 22:20:04.59371","2020-05-08 22:20:04.59371","Audit 1 is due today","106","9"
"10","1110328c-917a-11ea-8fa7-005056bb008d","2020-05-08 22:20:04.653338","2020-05-08 22:20:04.653339","Audit 1 is due today","107","10"
"11","1119bd98-917a-11ea-8fab-005056bb008d","2020-05-08 22:20:04.715884","2020-05-08 22:20:04.715884","Audit 1 is due today","110","11"
"12","1125700c-917a-11ea-8faf-005056bb008d","2020-05-08 22:20:04.792539","2020-05-08 22:20:04.792539","Audit 1 is due today","015","12"
"13","112f248a-917a-11ea-8fb3-005056bb008d","2020-05-08 22:20:04.85614","2020-05-08 22:20:04.85614","Audit 1 is due today","016","13"
"14","3fad1d08-9760-11ea-9409-005056bb008d","2020-05-16 10:30:22.918593","2020-05-16 10:30:22.918593","Audit 1 is past due","001","14"
"15","3fc41f76-9760-11ea-940b-005056bb008d","2020-05-16 10:30:23.069389","2020-05-16 10:30:23.06939","Audit 1 is past due","006","15"
"16","3fcf0292-9760-11ea-940d-005056bb008d","2020-05-16 10:30:23.140737","2020-05-16 10:30:23.140738","Audit 1 is past due","007","16"
"17","3fdb4714-9760-11ea-940f-005056bb008d","2020-05-16 10:30:23.221134","2020-05-16 10:30:23.221135","Audit 1 is past due","010","17"
"18","3fe97d8e-9760-11ea-9411-005056bb008d","2020-05-16 10:30:23.314279","2020-05-16 10:30:23.31428","Audit 1 is past due","014","18"
"19","3ffe557e-9760-11ea-9413-005056bb008d","2020-05-16 10:30:23.450876","2020-05-16 10:30:23.450877","Audit 1 is past due","101","19"
"20","40043c1e-9760-11ea-9415-005056bb008d","2020-05-16 10:30:23.489551","2020-05-16 10:30:23.489552","Audit 1 is past due","106","20"
"21","400b2f7e-9760-11ea-9417-005056bb008d","2020-05-16 10:30:23.535102","2020-05-16 10:30:23.535103","Audit 1 is past due","107","21"
"22","40127c5c-9760-11ea-9419-005056bb008d","2020-05-16 10:30:23.582943","2020-05-16 10:30:23.582944","Audit 1 is past due","110","22"
"23","40191e7c-9760-11ea-941b-005056bb008d","2020-05-16 10:30:23.626425","2020-05-16 10:30:23.626426","Audit 1 is past due","015","23"
"24","401f100c-9760-11ea-941d-005056bb008d","2020-05-16 10:30:23.665367","2020-05-16 10:30:23.665368","Audit 1 is past due","016","24"
"25","40285c52-9760-11ea-941f-005056bb008d","2020-05-16 10:30:23.726305","2020-05-16 10:30:23.726305","Audit 1 is past due","001","25"
"26","402fb272-9760-11ea-9421-005056bb008d","2020-05-16 10:30:23.774382","2020-05-16 10:30:23.774383","Audit 1 is past due","006","26"
"27","4036221a-9760-11ea-9423-005056bb008d","2020-05-16 10:30:23.816565","2020-05-16 10:30:23.816566","Audit 1 is past due","007","27"
"28","403bf78a-9760-11ea-9425-005056bb008d","2020-05-16 10:30:23.854796","2020-05-16 10:30:23.854797","Audit 1 is past due","010","28"
"29","4040da48-9760-11ea-9427-005056bb008d","2020-05-16 10:30:23.886813","2020-05-16 10:30:23.886814","Audit 1 is past due","014","29"
"30","40463d1c-9760-11ea-9429-005056bb008d","2020-05-16 10:30:23.922113","2020-05-16 10:30:23.922114","Audit 1 is past due","101","30"
"31","404a4222-9760-11ea-942b-005056bb008d","2020-05-16 10:30:23.948457","2020-05-16 10:30:23.948458","Audit 1 is past due","106","31"
"32","404db060-9760-11ea-942d-005056bb008d","2020-05-16 10:30:23.970938","2020-05-16 10:30:23.970939","Audit 1 is past due","107","32"
"33","40512a06-9760-11ea-942f-005056bb008d","2020-05-16 10:30:23.993713","2020-05-16 10:30:23.993714","Audit 1 is past due","110","33"
"34","40549556-9760-11ea-9431-005056bb008d","2020-05-16 10:30:24.016124","2020-05-16 10:30:24.016124","Audit 1 is past due","015","34"
"35","40595316-9760-11ea-9433-005056bb008d","2020-05-16 10:30:24.047192","2020-05-16 10:30:24.047192","Audit 1 is past due","016","35"
"36","405e9100-9760-11ea-9435-005056bb008d","2020-05-16 10:30:24.081548","2020-05-16 10:30:24.081548","Audit 1 is past due","001","36"
"37","406259de-9760-11ea-9437-005056bb008d","2020-05-16 10:30:24.106349","2020-05-16 10:30:24.106349","Audit 1 is past due","006","37"
"38","40661a7e-9760-11ea-9439-005056bb008d","2020-05-16 10:30:24.130941","2020-05-16 10:30:24.130942","Audit 1 is past due","007","38"
"39","4069d5ec-9760-11ea-943b-005056bb008d","2020-05-16 10:30:24.155402","2020-05-16 10:30:24.155402","Audit 1 is past due","010","39"
"40","406e5c5c-9760-11ea-943d-005056bb008d","2020-05-16 10:30:24.185058","2020-05-16 10:30:24.185059","Audit 1 is past due","014","40"
"41","4073879a-9760-11ea-943f-005056bb008d","2020-05-16 10:30:24.218932","2020-05-16 10:30:24.218933","Audit 1 is past due","101","41"
"42","40784fa0-9760-11ea-9441-005056bb008d","2020-05-16 10:30:24.250268","2020-05-16 10:30:24.250269","Audit 1 is past due","106","42"
"43","407cc7b0-9760-11ea-9443-005056bb008d","2020-05-16 10:30:24.279554","2020-05-16 10:30:24.279554","Audit 1 is past due","107","43"
"44","4081d58e-9760-11ea-9445-005056bb008d","2020-05-16 10:30:24.312677","2020-05-16 10:30:24.312677","Audit 1 is past due","110","44"
"45","4088826c-9760-11ea-9447-005056bb008d","2020-05-16 10:30:24.356424","2020-05-16 10:30:24.356425","Audit 1 is past due","015","45"
"46","408daee0-9760-11ea-9449-005056bb008d","2020-05-16 10:30:24.390331","2020-05-16 10:30:24.390331","Audit 1 is past due","016","46"
"47","64065024-9829-11ea-8db9-005056bb008d","2020-05-17 10:30:12.743801","2020-05-17 10:30:12.743801","Audit 1 is past due","001","47"
"48","641535f8-9829-11ea-8dbb-005056bb008d","2020-05-17 10:30:12.841432","2020-05-17 10:30:12.841433","Audit 1 is past due","006","48"
"49","641d9932-9829-11ea-8dbd-005056bb008d","2020-05-17 10:30:12.896401","2020-05-17 10:30:12.896402","Audit 1 is past due","007","49"
"50","642c9b08-9829-11ea-8dbf-005056bb008d","2020-05-17 10:30:12.99475","2020-05-17 10:30:12.994751","Audit 1 is past due","010","50"
"51","643ece9a-9829-11ea-8dc1-005056bb008d","2020-05-17 10:30:13.114036","2020-05-17 10:30:13.114037","Audit 1 is past due","014","51"
"52","6447cbe4-9829-11ea-8dc3-005056bb008d","2020-05-17 10:30:13.172953","2020-05-17 10:30:13.172954","Audit 1 is past due","101","52"
"53","644f85e6-9829-11ea-8dc5-005056bb008d","2020-05-17 10:30:13.223585","2020-05-17 10:30:13.223586","Audit 1 is past due","106","53"
"54","64566d98-9829-11ea-8dc7-005056bb008d","2020-05-17 10:30:13.268839","2020-05-17 10:30:13.26884","Audit 1 is past due","107","54"
"55","645e91da-9829-11ea-8dc9-005056bb008d","2020-05-17 10:30:13.322199","2020-05-17 10:30:13.322199","Audit 1 is past due","110","55"
"56","6465bc76-9829-11ea-8dcb-005056bb008d","2020-05-17 10:30:13.369161","2020-05-17 10:30:13.369161","Audit 1 is past due","015","56"
"57","646bef2e-9829-11ea-8dcd-005056bb008d","2020-05-17 10:30:13.409782","2020-05-17 10:30:13.409782","Audit 1 is past due","016","57"
"58","647351d8-9829-11ea-8dcf-005056bb008d","2020-05-17 10:30:13.458181","2020-05-17 10:30:13.458182","Audit 1 is past due","001","58"
"59","6479386e-9829-11ea-8dd1-005056bb008d","2020-05-17 10:30:13.496852","2020-05-17 10:30:13.496853","Audit 1 is past due","006","59"
"60","647f17c0-9829-11ea-8dd3-005056bb008d","2020-05-17 10:30:13.535338","2020-05-17 10:30:13.535339","Audit 1 is past due","007","60"
"61","6486990a-9829-11ea-8dd5-005056bb008d","2020-05-17 10:30:13.584522","2020-05-17 10:30:13.584522","Audit 1 is past due","010","61"
"62","648b024c-9829-11ea-8dd7-005056bb008d","2020-05-17 10:30:13.613433","2020-05-17 10:30:13.613434","Audit 1 is past due","014","62"
"63","648f2aa2-9829-11ea-8dd9-005056bb008d","2020-05-17 10:30:13.640679","2020-05-17 10:30:13.64068","Audit 1 is past due","101","63"
"64","64927c7a-9829-11ea-8ddb-005056bb008d","2020-05-17 10:30:13.662433","2020-05-17 10:30:13.662434","Audit 1 is past due","106","64"
"65","6495bbec-9829-11ea-8ddd-005056bb008d","2020-05-17 10:30:13.683719","2020-05-17 10:30:13.683719","Audit 1 is past due","107","65"
"66","6499022a-9829-11ea-8ddf-005056bb008d","2020-05-17 10:30:13.705178","2020-05-17 10:30:13.705178","Audit 1 is past due","110","66"
"67","649d22ec-9829-11ea-8de1-005056bb008d","2020-05-17 10:30:13.732232","2020-05-17 10:30:13.732233","Audit 1 is past due","015","67"
"68","64a12ed2-9829-11ea-8de3-005056bb008d","2020-05-17 10:30:13.758751","2020-05-17 10:30:13.758751","Audit 1 is past due","016","68"
"69","64a72350-9829-11ea-8de5-005056bb008d","2020-05-17 10:30:13.797777","2020-05-17 10:30:13.797778","Audit 1 is past due","001","69"
"70","64ab89d6-9829-11ea-8de7-005056bb008d","2020-05-17 10:30:13.826617","2020-05-17 10:30:13.826618","Audit 1 is past due","006","70"
"71","64b018e8-9829-11ea-8de9-005056bb008d","2020-05-17 10:30:13.856498","2020-05-17 10:30:13.856498","Audit 1 is past due","007","71"
"72","64b47744-9829-11ea-8deb-005056bb008d","2020-05-17 10:30:13.885123","2020-05-17 10:30:13.885124","Audit 1 is past due","010","72"
"73","64ba167c-9829-11ea-8ded-005056bb008d","2020-05-17 10:30:13.92197","2020-05-17 10:30:13.92197","Audit 1 is past due","014","73"
"74","64c82c76-9829-11ea-8def-005056bb008d","2020-05-17 10:30:14.014284","2020-05-17 10:30:14.014285","Audit 1 is past due","101","74"
