"id","time_created","time_updated","company_id","account_id","profit_center_id_sfk","overall_period_id","net_activity_period_1","net_activity_period_2","net_activity_period_3","net_activity_period_4","net_activity_period_5","net_activity_period_6","net_activity_period_7","net_activity_period_8","net_activity_period_9","net_activity_period_10","net_activity_period_11","net_activity_period_12","beginning_balance","closing_balance"
"bbc8664c-05da-11ec-a414-005056bb008a","2021-08-25 19:29:15.312506","2021-08-25 19:29:15.312506","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","1","3",,,,,,,,,,,,,,
"bbc87312-05da-11ec-a415-005056bb008a","2021-08-25 19:29:15.312824","2021-08-25 19:29:15.312824","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","1","2",,,,,,,,,,,,,,
"bbc87394-05da-11ec-a416-005056bb008a","2021-08-25 19:29:15.312836","2021-08-25 19:29:15.312836","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","1","4",,,,,,,,,,,,,,
"bbc873e4-05da-11ec-a417-005056bb008a","2021-08-25 19:29:15.312844","2021-08-25 19:29:15.312844","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","1","1",,,,,,,,,,,,,,
"bbc87434-05da-11ec-a418-005056bb008a","2021-08-25 19:29:15.312852","2021-08-25 19:29:15.312852","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","6","3",,,,,,,,,,,,,,
"bbc8747a-05da-11ec-a419-005056bb008a","2021-08-25 19:29:15.312859","2021-08-25 19:29:15.312859","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","6","2",,,,,,,,,,,,,,
"bbc874ca-05da-11ec-a41a-005056bb008a","2021-08-25 19:29:15.312867","2021-08-25 19:29:15.312867","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","6","4",,,,,,,,,,,,,,
"bbc87510-05da-11ec-a41b-005056bb008a","2021-08-25 19:29:15.312874","2021-08-25 19:29:15.312874","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","6","1",,,,,,,,,,,,,,
"bbc87556-05da-11ec-a41c-005056bb008a","2021-08-25 19:29:15.312881","2021-08-25 19:29:15.312881","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","7","3",,,,,,,,,,,,,,
"bbc8759c-05da-11ec-a41d-005056bb008a","2021-08-25 19:29:15.312888","2021-08-25 19:29:15.312888","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","7","2",,,,,,,,,,,,,,
"bbc875ec-05da-11ec-a41e-005056bb008a","2021-08-25 19:29:15.312896","2021-08-25 19:29:15.312896","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","7","4",,,,,,,,,,,,,,
"bbc87682-05da-11ec-a41f-005056bb008a","2021-08-25 19:29:15.312911","2021-08-25 19:29:15.312911","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","7","1",,,,,,,,,,,,,,
"bbc876d2-05da-11ec-a420-005056bb008a","2021-08-25 19:29:15.312919","2021-08-25 19:29:15.312919","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","10","3",,,,,,,,,,,,,,
"bbc87718-05da-11ec-a421-005056bb008a","2021-08-25 19:29:15.312926","2021-08-25 19:29:15.312926","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","10","2",,,,,,,,,,,,,,
"bbc87768-05da-11ec-a422-005056bb008a","2021-08-25 19:29:15.312934","2021-08-25 19:29:15.312934","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","10","4",,,,,,,,,,,,,,
"bbc877ae-05da-11ec-a423-005056bb008a","2021-08-25 19:29:15.312941","2021-08-25 19:29:15.312941","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","10","1",,,,,,,,,,,,,,
"bbc8784e-05da-11ec-a424-005056bb008a","2021-08-25 19:29:15.312957","2021-08-25 19:29:15.312957","157dcbe8-05d9-11ec-882f-005056bb008a","e5c54dda-05d9-11ec-a4e3-005056bb008a","101","3",,"-500.00","500.00","-165.00","-335.00",,"12165.00","-12165.00",,,,,"5000.00",
