id,time_created,time_updated,company_id,number,name,address_id,account_number,pay_to_id,freight_on_board_type_id,vendor_payment_term_id,normal_days,return_policy,ship_via_id,vendor_group_id,minimum_quantity,minimum_amount,free_ship_quantity,free_ship_amount,vendor_1099,federal_id_number,sales_representative_name,sales_representative_fax,separate_check,bump_percent,freight_calc_method_type_id,freight_percent,freight_amount,charge_inventory_tax_1,charge_inventory_tax_2,charge_inventory_tax_3,charge_inventory_tax_4,federal_id_number_verification,email_address,purchase_order_submit_email_address,allow_drop_ship_to_customer,auto_submit_purchase_order,search_vector,note,phone_number
b5d02db6-05d9-11ec-a551-005056bb008a,2021-08-25 19:21:55.800426+00,2021-08-25 19:21:56.158486+00,157dcbe8-05d9-11ec-882f-005056bb008a,1,"Coastal Bedding, Inc.",aadbc4ba-05d9-11ec-8ee0-005056bb008a,,b5d02db6-05d9-11ec-a551-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,7,f,9b118128-05d9-11ec-a89a-005056bb008a,,1,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'1':1A 'bed':3B 'coastal':2B 'inc':4B,Discount From Invoice Date,8004430068
b5d44130-05d9-11ec-a552-005056bb008a,2021-08-25 19:21:55.827133+00,2021-08-25 19:21:56.222302+00,157dcbe8-05d9-11ec-882f-005056bb008a,2,Rent-A-Center Franchising Inte,aadc0c22-05d9-11ec-8f86-005056bb008a,,b5d44130-05d9-11ec-a552-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,RHONDA DAVIS,9725803490,f,,2,,0.00,f,f,f,f,f,,,f,f,'2':1A 'center':5B 'franchis':6B 'int':7B 'rent':3B 'rent-a-cent':2B,Discount From Invoice Date /nNet Days =  10,9724034943
b5d44608-05d9-11ec-a553-005056bb008a,2021-08-25 19:21:55.827255+00,2021-08-25 19:21:56.298581+00,157dcbe8-05d9-11ec-882f-005056bb008a,8,CoreLogic Teletrack,aadbc7c6-05d9-11ec-8ee8-005056bb008a,,b5d44608-05d9-11ec-a553-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'8':1A 'corelog':2B 'teletrack':3B,Discount From Invoice Date,8007296981
b5d44798-05d9-11ec-a554-005056bb008a,2021-08-25 19:21:55.827294+00,2021-08-25 19:21:56.373345+00,157dcbe8-05d9-11ec-882f-005056bb008a,11,Gulf Power,aadbdeb4-05d9-11ec-8f22-005056bb008a,,b5d44798-05d9-11ec-a554-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'11':1A 'gulf':2B 'power':3B,Discount From Invoice Date,8004446649
b5d448e2-05d9-11ec-a555-005056bb008a,2021-08-25 19:21:55.827328+00,2021-08-25 19:21:56.557083+00,157dcbe8-05d9-11ec-882f-005056bb008a,12,Benjamin F. Glazer,aadbb132-05d9-11ec-8ebf-005056bb008a,,b5d448e2-05d9-11ec-a555-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'12':1A 'benjamin':2B 'f':3B 'glazer':4B,Discount From Invoice Date,
b5d44a86-05d9-11ec-a556-005056bb008a,2021-08-25 19:21:55.827369+00,2021-08-25 19:21:56.654695+00,157dcbe8-05d9-11ec-882f-005056bb008a,16,City of DeFuniak Springs,aadbc096-05d9-11ec-8ed5-005056bb008a,,b5d44a86-05d9-11ec-a556-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'16':1A 'citi':2B 'defuniak':4B 'spring':5B,Discount From Invoice Date,8508928500
b5d44bf8-05d9-11ec-a557-005056bb008a,2021-08-25 19:21:55.827406+00,2021-08-25 19:21:56.731947+00,157dcbe8-05d9-11ec-882f-005056bb008a,26,Fashion Craft,aadbd432-05d9-11ec-8f07-005056bb008a,,b5d44bf8-05d9-11ec-a557-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'26':1A 'craft':3B 'fashion':2B,Discount From Invoice Date /nNet Days =  30,8008777907
b5d44d2e-05d9-11ec-a558-005056bb008a,2021-08-25 19:21:55.827438+00,2021-08-25 19:21:56.80229+00,157dcbe8-05d9-11ec-882f-005056bb008a,31,Copy Cat Printing,aadbc76c-05d9-11ec-8ee7-005056bb008a,,b5d44d2e-05d9-11ec-a558-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,FRAISER PHELPS,8504761393,f,,2,,0.00,f,f,f,f,f,,,f,f,'31':1A 'cat':3B 'copi':2B 'print':4B,Discount From Invoice Date /nNet Days =  30,8504385566
b5d44e82-05d9-11ec-a559-005056bb008a,2021-08-25 19:21:55.827471+00,2021-08-25 19:21:56.882709+00,157dcbe8-05d9-11ec-882f-005056bb008a,32,National Tire Brokers Corporat,aadbfa48-05d9-11ec-8f63-005056bb008a,,b5d44e82-05d9-11ec-a559-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,,f,9b118128-05d9-11ec-a89a-005056bb008a,,,,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'32':1A 'broker':4B 'corporat':5B 'nation':2B 'tire':3B,Discount From Invoice Date,8508925191
b5d44ffe-05d9-11ec-a55a-005056bb008a,2021-08-25 19:21:55.827509+00,2021-08-25 19:21:56.936132+00,157dcbe8-05d9-11ec-882f-005056bb008a,34,Petra Industries,aadc020e-05d9-11ec-8f77-005056bb008a,,b5d44ffe-05d9-11ec-a55a-005056bb008a,1,ab9e697a-05d9-11ec-9200-005056bb008a,9,f,9b118128-05d9-11ec-a89a-005056bb008a,,,800.00,,,f,,,0,f,,2,,0.00,f,f,f,f,f,,,f,f,'34':1A 'industri':3B 'petra':2B,,8004436975
