"id","time_created","time_updated","value","description","company_id","deleted"
"f8e0bf3e-2293-11ee-84f4-005056bb008a","2023-07-14 18:15:42.607962","2023-07-14 18:15:42.607962","GLMGR","General Ledger Manager","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c218-2293-11ee-84f5-005056bb008a","2023-07-14 18:15:42.608031","2023-07-14 18:15:42.608031","GLSUP","General Ledger Supervisor","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c286-2293-11ee-84f6-005056bb008a","2023-07-14 18:15:42.608041","2023-07-14 18:15:42.608041","GLCLERK","General Ledger Clerk","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c2e0-2293-11ee-84f7-005056bb008a","2023-07-14 18:15:42.60805","2023-07-14 18:15:42.60805","APCLERK","Accounts Payable Clerk","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c326-2293-11ee-84f8-005056bb008a","2023-07-14 18:15:42.608057","2023-07-14 18:15:42.608057","APSUP","Accounts Payable Supervisor","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c376-2293-11ee-84f9-005056bb008a","2023-07-14 18:15:42.608065","2023-07-14 18:15:42.608065","POCLERK","Purchase Order Clerk","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c3bc-2293-11ee-84fa-005056bb008a","2023-07-14 18:15:42.608072","2023-07-14 18:15:42.608073","POSUP","Purchase Order Supervisor","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c420-2293-11ee-84fb-005056bb008a","2023-07-14 18:15:42.608082","2023-07-14 18:15:42.608082","BKCLERK","Bank Reconciliation Clerk","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c47a-2293-11ee-84fc-005056bb008a","2023-07-14 18:15:42.608091","2023-07-14 18:15:42.608091","BKSUP","Bank Reconciliation Supervisor","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0c4c0-2293-11ee-84fd-005056bb008a","2023-07-14 18:15:42.608098","2023-07-14 18:15:42.608098","MCFADMIN","Master Control File Administrator","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"f8e0d366-2293-11ee-84fe-005056bb008a","2023-07-14 18:15:42.608474","2023-07-14 18:15:42.608474","HTADMIN","High Touch Admin","157dcbe8-05d9-11ec-882f-005056bb008a","false"
"d37492be-258d-11ee-9f09-005056bb008a","2023-07-14 18:15:42.607962","2023-07-14 18:15:42.607962","GLMGR","General Ledger Manager","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d3a881d2-258d-11ee-9f0a-005056bb008a","2023-07-14 18:15:42.608031","2023-07-14 18:15:42.608031","GLSUP","General Ledger Supervisor","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d3dc80c2-258d-11ee-9f0b-005056bb008a","2023-07-14 18:15:42.608041","2023-07-14 18:15:42.608041","GLCLERK","General Ledger Clerk","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d40fff9c-258d-11ee-9f0c-005056bb008a","2023-07-14 18:15:42.60805","2023-07-14 18:15:42.60805","APCLERK","Accounts Payable Clerk","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d443aeaa-258d-11ee-9f0d-005056bb008a","2023-07-14 18:15:42.608057","2023-07-14 18:15:42.608057","APSUP","Accounts Payable Supervisor","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d477d6ee-258d-11ee-9f0e-005056bb008a","2023-07-14 18:15:42.608065","2023-07-14 18:15:42.608065","POCLERK","Purchase Order Clerk","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d4ab72ce-258d-11ee-9f0f-005056bb008a","2023-07-14 18:15:42.608072","2023-07-14 18:15:42.608073","POSUP","Purchase Order Supervisor","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d4df0648-258d-11ee-9f10-005056bb008a","2023-07-14 18:15:42.608082","2023-07-14 18:15:42.608082","BKCLERK","Bank Reconciliation Clerk","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d512f232-258d-11ee-9f11-005056bb008a","2023-07-14 18:15:42.608091","2023-07-14 18:15:42.608091","BKSUP","Bank Reconciliation Supervisor","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d546ca80-258d-11ee-9f12-005056bb008a","2023-07-14 18:15:42.608098","2023-07-14 18:15:42.608098","MCFADMIN","Master Control File Administrator","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
"d57a9f22-258d-11ee-9f13-005056bb008a","2023-07-14 18:15:42.608474","2023-07-14 18:15:42.608474","HTADMIN","High Touch Admin","15c8bdba-05d9-11ec-a4c4-005056bb008a","false"
