"id","agreement_number","customer_id","created_at","updated_at","row_creator_id","agreement_type","ht_etl_schema"
"1","100003","6","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"2","100004","31","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"3","100005","31","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"4","100006","26","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"5","100007","40","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"6","100008","40","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"7","100009","3293","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"8","100009","48","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"9","100010","48","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"10","100011","3295","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"11","100011","49","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"12","100012","49","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"13","100013","3296","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"14","100013","51","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"15","100014","51","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"16","100015","57","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"17","100016","57","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"18","100017","3300","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"19","100017","67","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"20","100018","3301","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"21","100018","67","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"22","100019","28","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"23","100020","28","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"24","100021","70","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"25","100022","70","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"26","100023","79","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"27","100024","79","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"28","100025","80","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"29","100026","3309","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"30","100026","46","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"31","100027","46","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"32","100028","46","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"33","100029","46","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"34","100030","46","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"35","100031","85","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"36","100032","85","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"37","100033","109","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"38","100034","109","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"39","100035","111","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"40","100036","3319","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"41","100036","120","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"42","100037","3320","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"43","100037","128","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"44","100038","128","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"45","100039","60","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"46","100040","3323","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"47","100040","172","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"48","100041","3324","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"49","100041","172","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"50","100042","3325","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"51","100042","60","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"52","100043","251","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"53","100044","60","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"54","100045","241","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"55","100046","274","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"56","100047","232","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"57","100048","3331","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"58","100048","73","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"59","100049","308","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"60","100050","312","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"61","100051","3334","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"62","100051","235","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"63","100052","320","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"64","100053","3336","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"65","100053","231","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"66","100054","323","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"67","100055","328","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"68","100056","3338","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"69","100056","231","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"70","100057","232","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"71","100058","3340","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"72","100058","318","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"73","100059","358","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"74","100060","360","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"75","100061","3343","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"76","100061","374","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"77","100062","396","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"78","100063","3345","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"79","100063","309","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"80","100064","402","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"81","100065","409","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"82","100066","398","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"83","100067","3349","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"84","100067","431","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"85","100068","326","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"86","100069","452","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"87","100070","257","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"88","100071","3353","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"89","100071","459","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"90","100072","3354","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"91","100072","382","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"92","100073","560","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"93","100074","3358","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"94","100074","422","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"95","100075","574","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"96","100076","594","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"97","100077","601","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"98","100078","3359","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"99","100078","604","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"100","100079","3360","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"101","100079","628","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"102","100080","3361","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"103","100080","634","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"104","100081","3362","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"105","100081","635","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"106","100082","644","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"107","100083","552","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"108","100084","645","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"109","100085","284","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"110","100086","321","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"111","100087","430","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"112","100088","660","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"113","100089","329","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"114","100090","658","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"115","100091","611","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"116","100092","3372","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"117","100092","676","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"118","100093","688","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"119","100094","700","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"120","100095","701","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"121","100096","708","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"122","100097","3375","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"123","100097","333","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"124","100098","379","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"125","100099","716","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"126","100100","3378","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"127","100100","720","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"128","100101","3379","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"129","100101","528","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"130","100102","744","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"131","100103","560","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"132","100104","3382","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"133","100104","756","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"134","100105","760","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"135","100106","3384","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"136","100106","767","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"137","100107","768","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"138","100108","571","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"139","100109","774","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"140","100110","779","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"141","100111","783","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"142","100112","233","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"143","100113","166","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"144","100114","3392","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"145","100114","790","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"146","100115","793","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"147","100116","667","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"148","100117","799","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"149","100118","802","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"150","100119","804","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"151","100120","3398","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"152","100120","805","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"153","100121","3399","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"154","100121","807","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"155","100122","810","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"156","100123","621","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"157","100124","151","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"158","100125","3403","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"159","100125","816","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"160","100126","819","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"161","100127","3405","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"162","100127","823","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"163","100128","497","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"164","100129","3407","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"165","100129","463","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"166","100130","3408","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"167","100130","463","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"168","100131","3409","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"169","100131","830","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"170","100132","835","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"171","100133","3411","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"172","100133","736","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"173","100134","843","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"174","100135","838","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"175","100136","3413","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"176","100136","832","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"177","100137","844","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"178","100138","3415","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"179","100138","841","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"180","100139","848","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"181","100140","3417","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"182","100140","849","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"183","100141","850","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"184","100142","852","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"185","100143","3420","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"186","100143","380","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"187","100144","3421","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"188","100144","853","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"189","100145","839","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"190","100146","857","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"191","100147","107","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"192","100148","3425","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"193","100148","854","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"194","100149","860","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"195","100150","863","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"196","100151","3429","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"197","100151","859","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"198","100152","851","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"199","100153","866","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"200","100154","104","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"201","100155","869","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"202","100156","872","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"203","100157","771","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"204","100158","3435","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"205","100158","463","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"206","100159","875","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"207","100160","877","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"208","100161","3439","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"209","100161","874","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"210","100162","3438","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"211","100162","878","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"212","100163","876","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"213","100164","881","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"214","100165","339","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"215","100166","3442","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"216","100166","872","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"217","100167","3444","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"218","100167","886","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"219","100168","816","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"220","100169","297","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"221","100170","3446","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"222","100170","887","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"223","100171","3447","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"224","100171","154","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"225","100172","3448","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"226","100172","837","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"227","100173","891","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"228","100174","3450","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"229","100174","892","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"230","100175","897","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"231","100176","3452","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"232","100176","898","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"233","100177","3453","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"234","100177","899","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"235","100178","3454","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"236","100178","900","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"237","100179","3455","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"238","100179","894","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"239","100180","729","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"240","100181","904","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"241","100182","3456","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"242","100182","901","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"243","100183","3457","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"244","100183","443","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"245","100184","905","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"246","100185","906","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"247","100186","654","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"248","100187","883","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"249","100188","559","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"250","100189","345","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"251","100190","126","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"252","100191","391","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"253","100192","3466","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"254","100192","189","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"255","100193","911","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"256","100194","393","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"257","100195","3469","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"258","100195","907","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"259","100196","914","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"260","100197","352","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"261","100198","285","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"262","100199","485","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"263","100200","3474","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
"264","100200","916","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"O","public"
"265","100201","3475","2021-11-24 04:18:41.518431","2021-11-24 04:18:41.518431",,"F","public"
