"id","status_code","descr","active_flag","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","X",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"2","P",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"3","S",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"4","R",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"5","L",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"6","E",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"7","N",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"8","O",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"9","Z",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"10","C",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"11","Y",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"12","B",,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
"13",,,,"2021-10-08 04:18:26.748995","2021-10-08 04:18:26.748995",,"public"
