"id","store_id","location_type_id","loc_tran_loc","loc_transfer_desc","loc_transfer_loc_group_nbr_1","loc_transfer_loc_group_nbr_2","loc_transfer_loc_group_nbr_3","loc_transfer_loc_group_nbr_4","loc_transfer_loc_group_nbr_5","loc_transfer_loc_group_nbr_6","loc_transfer_loc_group_nbr_7","loc_transfer_loc_group_nbr_8","loc_transfer_loc_group_nbr_9","loc_transfer_loc_group_nbr_10","loc_transfer_loc_group_desc","loc_tran_currency_convert_rate","loc_tran_master_nbr","loc_tran_retail_to_rental_loc","loc_tran_machine_nbr","loc_tran_data_phone","loc_tran_voice_phone","loc_tran_strip_dir","loc_tran_stripped_indr","loc_tran_lowest_movie_copy_nbr","loc_tran_seperate_system_indr","loc_tran_send_strip_directory","loc_tran_market_nbr","loc_tran_region_nbr","loc_tran_market_name","loc_tran_region_name","loc_tran_company_nbr","loc_tran_company_name","loc_tran_subtract_petty_cash_i","loc_tran_add_sales_to_movies_i","loc_tran_bld_sum_this_loc_indr","loc_tran_address","loc_tran_city","loc_tran_state","loc_tran_zip","loc_tran_zip_plus","loc_tran_last_changed_date","loc_tran_active_store_indr","loc_tran_country_code","loc_tran_zip_pc","loc_tran_inventory_price_grp","loc_tran_date_store_opened","loc_tran_rmte_pmt_store_indr","loc_tran_inv_max","loc_tran_time_zone","loc_tran_dest_based_tax_ind","loc_tran_out_of_state_ind","loc_tran_dflt_taxgrp_nbr","loc_tran_dflt_exmpt_taxgrp_nbr","loc_tran_macrs_gozone_bonus_sw","loc_tran_start_sl_depr_sw","loc_tran_bc_seqnum","loc_tran_ct_sysid","loc_tran_ct_override","loc_tran_ipaddr","loc_tran_migrate_date","loc_tran_migrate_from","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","5","1","8002","CHARGE OFF-LAFAYETTE","2","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0",,"0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"2","5","2","6002","SERVICE-LAFAYETTE","2","600","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0","N","0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"3","5","3","3002","PENDING-LAFAYETTE","2","300","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0","N","0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"4","1","4","0","ADVANCED VENTURES,LLC","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"0","0","0",,,"0",,,"0","0",,,"0",,"0",,,,,,"12345","0","7604510",,,"12345",,"0",,"0",,"N",,"1","5","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"5","2","4","1","HOUMA","1","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","9858739898","SERIAL","N","7","N",,"1","1",,,"1",,"2","N","Y","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7670543","Y","USA","70363",,"0","Y","0","CST","N","A","1","6","N","Y","43680","avt001",,,"7604238","HighTouch","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"6","2","3","3001","PENDING-HOUMA","1","300","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7668245",,"US","70363",,"0","N","0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"7","3","4","9000","ADVANCED VENTURES,LLC","0","0","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0","N",,"1","1",,,"1",,"2",,"N","13559 WEST MAIN","LAROSE","LA","70373","0","7603476","H","US","70373",,"0","N","0",,"N","A","1","6","N","N","4",,,,"7604238","HighTouch","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"8","4","4","3","HATTIESBURG","3","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","6016026865","SERIAL        0003/","N","7","N","           0003/","1","1",,,"1",,"2","N","Y","709 BROADWAY DRIVE","HATTIESBURG","MS","39401","0","7670543","Y","USA","39401",,"0","Y","0","CST","N","A","3","5","N","Y","28842","avt003",,,"7604238","HighTouch","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"9","5","5","9002","CUSTOMER HOME-LAFAYETTE","2","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0",,"0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"10","5","6","7002","SKIP/STOLEN-LAFAYETTE","2","700","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0","N","0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"11","5","7","5002","LOANER-LAFAYETTE","2","500","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","108 DOUCET RD","LAFAYETTE","LA","70363","0","7602446",,"US","70503",,"0","N","0","CST","N","A","2","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"12","5","4","2","LAFAYETTE","2","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","3377067007","SERIAL        0002/","N","7","N","           0002/","1","1",,,"1",,"2","N","Y","2001 NW EVANGELINE THRWY","LAFAYETTE","LA","70501","0","7670543","Y","USA","70501",,"0","Y","0","CST","N","A","2","6","N","Y","23136","avt002",,,"7604238","HighTouch","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"13","2","7","5001","LOANER-HOUMA","1","500","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7602446",,"US","70363",,"0","N","0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"14","2","2","6001","SERVICE-HOUMA","1","600","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7602446",,"US","70363",,"0","N","0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"15","2","6","7001","SKIP/STOLEN-HOUMA","1","700","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7602446",,"US","70363",,"0","N","0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"16","2","1","8001","CHARGE OFF-HOUMA","1","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7602446",,"US","70363",,"0",,"0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"17","2","5","9001","CUSTOMER HOME-HOUMA","1","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","9858739898",,,"0",,,"1","1",,,"1",,"0",,"N","623 GRAND CAILLOU RD","HOUMA","LA","70363","0","7602446",,"US","70363",,"0",,"0","CST","N","A","2105376","2105376","N","N","0",,,,"2105376",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"18","4","3","3003","PENDING-HATTIESBURG","3","300","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0","N","0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"19","4","7","5003","LOANER-HATTIESBURG","3","500","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0","N","0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"20","4","2","6003","SERVICE-HATTIESBURG","3","600","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0","N","0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"21","4","6","7003","SKIP/STOLEN-HATTIESBURG","3","700","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0","N","0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"22","4","1","8003","CHARGE OFF-HATTIESBURG","3","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0",,"0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"23","4","5","9003","CUSTOMER HOME-HATTIESBURG","3","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","709 BROADWAY DRIVE","HATTIESBURG","MS","70363","0","7602446",,"US","39401",,"0",,"0","CST","N","A","3","5","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"24","6","4","4","SLIDELL","4","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","9852598677","SERIAL        0004/","N","7","N","           0004/","1","1",,,"1",,"2","N","Y","722 EAST I-10 SERVICE RD","SLIDELL","LA","70461","0","7668245","Y","USA","70461",,"0","Y","0","CST","N","A","4","6","N","Y","14529","avt004",,,"7604238","HighTouch","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"25","6","3","3004","PENDING-SLIDELL","4","300","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0","N","0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"26","6","7","5004","LOANER-SLIDELL","4","500","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0","N","0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"27","6","2","6004","SERVICE-SLIDELL","4","600","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0","N","0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"28","6","6","7004","SKIP/STOLEN-SLIDELL","4","700","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0","N","0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"29","6","1","8004","CHARGE OFF-SLIDELL","4","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0",,"0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"30","6","5","9004","CUSTOMER HOME-SLIDELL","4","900","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","6016026865",,,"0",,,"1","1",,,"1",,"0",,"N","722 EAST I-10 SERVICE RD","SLIDELL","LA","70363","0","7602446",,"US","70461",,"0",,"0","CST","N","A","4","6","N","N","0",,,,"7602446",,"2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"31","7","4","5","BATON ROUGE","5","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","0","SERIAL        0005/","N","7","N","           0005/","1","1",,,"1",,"2","N","Y","7221 AIRLINE HWY","BATON ROUGE","LA","70805","0","7735067","Y","USA","70805",,"0","Y","0","CST","N","A","7","6","N","Y","14590","avt005",,,"7735065","VersiRent","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"32","7","3","3005","PENDING-BATON ROUGE","5","300","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","7221 AIRLINE HWY","BATON ROUGE","LA","70363","0","7602446",,"US","70805",,"0","N","0","CST","N","A","7","6","N","N","0",,,,"7735065","VersiRent","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"33","7","7","5005","LOANER-BATON ROUGE","5","500","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","7221 AIRLINE HWY","BATON ROUGE","LA","70363","0","7602446",,"US","70805",,"0","N","0","CST","N","A","7","6","N","N","0",,,,"7735065","VersiRent","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
"34","7","2","6005","SERVICE-BATON ROUGE","5","600","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0",,,"1","1",,,"1",,"0",,"N","7221 AIRLINE HWY","BATON ROUGE","LA","70363","0","7602446",,"US","70805",,"0","N","0","CST","N","A","7","6","N","N","0",,,,"7735065","VersiRent","2021-08-26 04:17:06.830344","2021-08-26 04:17:06.830344",,"public"
