"id","manu_code","manufile_manu_name","created_at","updated_at","row_creator_id","manufile_manu_code_an2","manufile_manu_code_an3","packed_cost_pcode_1","packed_cost_percent_1","packed_cost_pcode_2","packed_cost_percent_2","packed_cost_pcode_3","packed_cost_percent_3","packed_cost_pcode_4","packed_cost_percent_4","packed_cost_pcode_5","packed_cost_percent_5","packed_cost_pcode_6","packed_cost_percent_6","packed_cost_pcode_7","packed_cost_percent_7","packed_cost_pcode_8","packed_cost_percent_8","packed_cost_pcode_9","packed_cost_percent_9","packed_cost_pcode_10","packed_cost_percent_10","manufile_warranty_code_1","manufile_warranty_desc_1","manufile_warranty_length_1","manufile_warranty_period_1","manufile_warranty_code_2","manufile_warranty_desc_2","manufile_warranty_length_2","manufile_warranty_period_2","manufile_warranty_code_3","manufile_warranty_desc_3","manufile_warranty_length_3","manufile_warranty_period_3","manufile_warranty_code_4","manufile_warranty_desc_4","manufile_warranty_length_4","manufile_warranty_period_4","manufile_warranty_code_5","manufile_warranty_desc_5","manufile_warranty_length_5","manufile_warranty_period_5","manufile_warranty_code_6","manufile_warranty_desc_6","manufile_warranty_length_6","manufile_warranty_period_6","manufile_warranty_code_7","manufile_warranty_desc_7","manufile_warranty_length_7","manufile_warranty_period_7","manufile_warranty_code_8","manufile_warranty_desc_8","manufile_warranty_length_8","manufile_warranty_period_8","manufile_warranty_code_9","manufile_warranty_desc_9","manufile_warranty_length_9","manufile_warranty_period_9","manufile_warranty_code_10","manufile_warranty_desc_10","manufile_warranty_length_10","manufile_warranty_period_10","ht_etl_schema"
"1","1AV","1AV","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"1A","1AV",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"2","2CR","2CRAVE","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"2C","2CR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"3","A2K","A2K","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"A2","A2K",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"4","AC-","AC-","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AC","AC-",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"5","ACC","ACCLERA","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AC","ACC",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"6","ACH","ACHILLES","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AC","ACH",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"7","ADV","ADVANTA","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AD","ADV",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"8","AEL","ACCEL","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AE","AEL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"9","AKZ","AKUZA","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AK","AKZ",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"10","ALL","ALLURE","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AL","ALL",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"11","AMA","AMANI FORGED","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMA",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"12","AMC","AMERICUS","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMC",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"13","AML","AMERICAN MUSCLE","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AML",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"14","AMP","AMP","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMP",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"15","AMR","AMERICA'S","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"16","AMT","AMP TACK","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMT",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"17","AMX","AMERICAN TRUXX","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AM","AMX",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
"18","ANR","ANIRAC","2021-08-24 04:16:12.145037","2021-08-24 04:16:12.145037",,"AN","ANR",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,"0.000",,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"public"
