"id","agreement_number","customer_id","created_at","updated_at","row_creator_id","agreement_type","ht_etl_schema"
"1","1","24681","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"2","2","24682","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"3","3","24683","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"4","5","24684","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"5","7","24685","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"6","10","24686","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"7","11","24687","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"8","12","24688","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"9","13","24689","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"10","14","24690","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"11","15","24691","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"12","16","24692","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"13","17","24693","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"14","18","24694","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"15","19","24695","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"16","20","24696","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"17","21","24697","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"18","22","24698","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"19","23","24699","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"20","24","24700","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"21","27","24701","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"22","28","24702","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"23","30","24703","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"24","31","24704","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"25","32","24705","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"26","34","24706","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"27","35","24707","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
"28","36","24708","2021-11-24 04:09:53.399677","2021-11-24 04:09:53.399677",,"O","public"
