"id","loc_dept_code","loc_dept_desc","loc_dept_security_profile","loc_dept_default_menu","created_at","updated_at","ht_etl_schema"
"1","RF","RACFI Ops","90001","HOMEHT","2021-08-26 04:09:09.582384","2021-08-26 04:09:09.582384","public"
"2","MM","MARKET MGR","90002","HOMEHT","2021-08-26 04:09:09.58965","2021-08-26 04:09:09.58965","public"
"3","SM","STORE MGR","90003","HOMEHT","2021-08-26 04:09:09.590844","2021-08-26 04:09:09.590844","public"
"4","AM","ASST MGR","90004","HOMEHT","2021-08-26 04:09:09.592023","2021-08-26 04:09:09.592023","public"
"5","AR","ACCOUNT REP","90005","HOMEHT","2021-08-26 04:09:09.593326","2021-08-26 04:09:09.593326","public"
"6","SA","SALES ASSOC","90006","HOMEHT","2021-08-26 04:09:09.594478","2021-08-26 04:09:09.594478","public"
"7","DE","DELIVERY DVR","90007","HOMEHT","2021-08-26 04:09:09.595209","2021-08-26 04:09:09.595209","public"
"8","EX","EXECUTIVE","90000","MAIN","2021-08-26 04:09:09.596527","2021-08-26 04:09:09.596527","public"
"9","TE","TERMINATED E","90008","HOMEHT","2021-08-26 04:09:09.59743","2021-08-26 04:09:09.59743","public"
"10","RM","REGIONAL MGR","90009","HOMEHT","2021-08-26 04:09:09.598244","2021-08-26 04:09:09.598244","public"
"11","AC","ACOUNTING MW","90010",,"2021-08-26 04:09:09.599039","2021-08-26 04:09:09.599039","public"
"12","NO",,,,"2021-08-26 04:09:09.82902","2021-08-26 04:09:09.82902","public"
