"id","itemfile_nbr","manufacturer_id","row_creator_id","created_at","updated_at","itemfile_nbr_first_1","itemfile_nbr_first_2","itemfile_1prod_2manuf","itemfile_1prod_3manuf","itemfile_mfg_code","itemfile_nbr_2_and_3","itemfile_2prod_2manuf","itemfile_2prod_3manuf","itemfile_model_nbr_4_18","itemfile_mfg_model_nbr","itemfile_model_nbr_5_18","itemfile_model_nbr_6_18","itemfile_desc_1","itemfile_desc_1_and_2","itemfile_desc_2","itemfile_days_out_of_stock","itemfile_nbr_pieces","itemfile_reg_price","itemfile_sale_price","itemfile_spiff","itemfile_wholesale_tax_percent","itemfile_average_cost","itemfile_last_cost","itemfile_commission_code","itemfile_furn_style","itemfile_special_fee_item","itemfile_gl_main_acct_1","itemfile_gl_sub_acct_1","itemfile_gl_main_acct_2","itemfile_gl_sub_acct_2","itemfile_gl_main_acct_3","itemfile_gl_sub_acct_3","itemfile_gl_main_acct_4","itemfile_gl_sub_acct_4","itemfile_gl_main_acct_5","itemfile_gl_sub_acct_5","itemfile_gl_main_acct_6","itemfile_gl_sub_acct_6","itemfile_gl_main_acct_7","itemfile_gl_sub_acct_7","itemfile_use_store_as_pc_indr","itemfile_serialized_indr","itemfile_cost_method_indr","vendor_id","ht_etl_schema","itemfile_percent_of_price","itemfile_qty_on_hand","itemfile_sell_service_pol_indr","itemfile_taxable_indr","itemfile_movie_type_indr","itemfile_rtr_pricing_type","itemfile_rto_spiff","itemfile_rtr_monthly_price","itemfile_normal_terms_monthly","itemfile_monthly_rto_price","itemfile_normal_terms_weekly","itemfile_weekly_rto_price","itemfile_discontinued_indr","itemfile_first_received_date","itemfile_first_received_year","itemfile_first_received_month","itemfile_first_received_day","itemfile_furniture_indr","itemfile_qty_on_order","itemfile_date_due_in","itemfile_last_changed_date","itemfile_book_value_nbr_months","itemfile_inv_cube_size","itemfile_inv_unit_weight","itemfile_upc_code","itemfile_min_accept_price","itemfile_mgrs_override_price","itemfile_list_price","itemfile_no_discount_sale_item","itemfile_rate_code","itemfile_freight_override_amt","itemfile_glacct_rentinv_main","itemfile_glacct_rentinv_sub","itemfile_glacct_pfydepadj_main","itemfile_glacct_pfydepadj_sub","itemfile_glacct_accumdep_main","itemfile_glacct_accumdep_sub","itemfile_recv_inv_status"
"1","ACAMAAMAP182BW","5",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAM","CAM","CA","AM","AMA","MAAMAP182BW","AAMAP182BW","AAMAP182BW","AMAP182BW","AIR CONDITIONER","AIR CONDITIONER             18000 BTU","18000 BTU","0","1","973.990","0.000","0.00","0.00","529.990","529.990","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","331","public","0.00","1","","Y","","N","0.00","0.00","18","1943.82","78","1949.22","N",,"0","0","0","N","4","2020-04-06","2020-11-11","24","0","0","","749.99","699.99","0.00","","2478","0.00","1100","0","5000","0","1200","0","N"
"2","ACARTAKPD14HR81","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKPD14HR81","TAKPD14HR81","TAKPD14HR81","AKPD14HR81","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","1","453.990","0.000","0.00","0.00","290.060","290.060","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","6","","Y","","N","0.00","0.00","6","905.94","26","909.74","N",,"0","0","0","N","0","2018-07-19","2018-05-30","24","0","0","","419.99","389.99","0.00","","3426","0.00","1100","0","5000","0","1200","0","N"
"3","ACARTAKW10CR51","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW10CR51","TAKW10CR51","TAKW10CR51","AKW10CR51","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","0","284.990","0.000","0.00","0.00","174.240","174.240","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","569.94","26","571.74","Y",,"0","0","0","N","0",,"2018-03-05","36","0","0","","0.00","0.00","0.00","N","2126","0.00","1100","0","5000","0","1200","0","N"
"4","ACARTAKW10CR71","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW10CR71","TAKW10CR71","TAKW10CR71","AKW10CR71","AIR CONDITIONER","AIR CONDITIONER             10000 BTU","10000 BTU","0","1","284.990","0.000","0.00","0.00","210.790","196.420","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","44","","Y","","N","0.00","0.00","6","569.94","26","571.74","N",,"0","0","0","N","12","2020-04-11","2018-03-05","24","0","0","","279.99","269.99","0.00","","2126","0.00","1100","0","5000","0","1200","0","N"
"5","ACARTAKW12CR51","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW12CR51","TAKW12CR51","TAKW12CR51","AKW12CR51","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","362.990","0.000","0.00","0.00","214.230","214.230","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","725.94","26","727.74","Y",,"0","0","0","N","0",,"2018-03-05","0","0","0","","0.00","0.00","0.00","N","2726","0.00","1100","0","5000","0","1200","0","N"
"6","ACARTAKW12CR71","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW12CR71","TAKW12CR71","TAKW12CR71","AKW12CR71","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","1","362.990","0.000","0.00","0.00","226.812","222.070","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","117","","Y","","N","0.00","0.00","6","725.94","26","727.74","N",,"0","0","0","N","0","2019-06-12","2018-03-05","24","0","0","","319.99","299.99","0.00","","2726","0.00","1100","0","5000","0","1200","0","N"
"7","ACARTAKW15CR51","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW15CR51","TAKW15CR51","TAKW15CR51","AKW15CR51","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","0","544.990","0.000","0.00","0.00","288.010","288.010","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","9","1088.91","39","1091.61","Y",,"0","0","0","N","0",,"2018-03-05","0","0","0","","0.00","0.00","0.00","N","2739","0.00","1100","0","5000","0","1200","0","N"
"8","ACARTAKW15CR71","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAKW15CR71","TAKW15CR71","TAKW15CR71","AKW15CR71","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","1","544.990","0.000","0.00","0.00","317.810","316.820","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","Y","1","97","public","0.00","23","","Y","","N","0.00","0.00","9","1088.91","39","1091.61","N",,"0","0","0","N","2","2019-05-16","2018-03-05","24","0","0","","449.99","419.99","0.00","","2739","0.00","1100","0","5000","0","1200","0","N"
"9","ACARTAWK15CR4","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTAWK15CR4","TAWK15CR4","TAWK15CR4","AWK15CR4","AIR CONDITIONER","AIR CONDITIONER             15000 BTU","15000 BTU","0","0","414.990","0.000","0.00","0.00","261.550","261.550","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","827.94","26","831.74","Y",,"0","0","0","N","0",,"2017-11-07","0","0","0","","0.00","0.00","0.00","N","3126","0.00","1100","0","5000","0","1200","0","N"
"10","ACARTEKW12CR5","9",,"2021-08-24 04:08:22.813516","2021-08-24 04:08:22.813516","A","AC","CA","CAR","CAR","CA","AR","ART","RTEKW12CR5","TEKW12CR5","TEKW12CR5","EKW12CR5","AIR CONDITIONER","AIR CONDITIONER             12000 BTU","12000 BTU","0","0","362.990","0.000","0.00","0.00","209.000","209.000","1","","N","4105","0","1100","0","0","0","4000","0","0","0","5000","0","0","0","Y","T","1","97","public","0.00","0","N","Y","N","N","0.00","0.00","6","725.94","26","727.74","Y",,"0","0","0","N","0",,"2018-03-05","0","0","0","","0.00","0.00","0.00","N","2726","0.00","1100","0","5000","0","1200","0","N"
