"id","loc_tran_loc","loc_transfer_desc","loc_transfer_loc_group_nbr_1","loc_transfer_loc_group_nbr_2","loc_transfer_loc_group_nbr_3","loc_transfer_loc_group_nbr_4","loc_transfer_loc_group_nbr_5","loc_transfer_loc_group_nbr_6","loc_transfer_loc_group_nbr_7","loc_transfer_loc_group_nbr_8","loc_transfer_loc_group_nbr_9","loc_transfer_loc_group_nbr_10","loc_transfer_loc_group_desc","loc_tran_currency_convert_rate","loc_tran_master_nbr","loc_tran_retail_to_rental_loc","loc_tran_machine_nbr","loc_tran_data_phone","loc_tran_voice_phone","loc_tran_strip_dir","loc_tran_stripped_indr","loc_tran_lowest_movie_copy_nbr","loc_tran_seperate_system_indr","loc_tran_send_strip_directory","loc_tran_market_nbr","loc_tran_region_nbr","loc_tran_market_name","loc_tran_region_name","loc_tran_company_nbr","loc_tran_company_name","loc_tran_subtract_petty_cash_i","loc_tran_add_sales_to_movies_i","loc_tran_bld_sum_this_loc_indr","loc_tran_address","loc_tran_city","loc_tran_state","loc_tran_zip","loc_tran_zip_plus","loc_tran_last_changed_date","loc_tran_active_store_indr","loc_tran_country_code","loc_tran_zip_pc","loc_tran_inventory_price_grp","loc_tran_date_store_opened","loc_tran_rmte_pmt_store_indr","loc_tran_inv_max","loc_tran_time_zone","loc_tran_dest_based_tax_ind","loc_tran_out_of_state_ind","loc_tran_dflt_taxgrp_nbr","loc_tran_dflt_exmpt_taxgrp_nbr","loc_tran_macrs_gozone_bonus_sw","loc_tran_start_sl_depr_sw","loc_tran_bc_seqnum","loc_tran_ct_sysid","loc_tran_ct_override","loc_tran_ipaddr","loc_tran_migrate_date","loc_tran_migrate_from","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","1","Rent-A-Center DeFuniak","1","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8508926622","8508920440","BARCODE","N","7","N",,"1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","1030-H Hwy 331 South","DeFuniak Spring","FL","32435","0","7801353","Y","USA","32435",,"0","Y","0","EST","N","A","5","4","N","Y","16689","ebr001",,,"0",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"2","9000","HOME OFFICE-EBRO Int.","0","0","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0","N",,"1","1",,,"1",,"2",,"N",,,,"11111","0","7736094","H",,"11111",,"0","Y","0",,"N","A","5","4","N","Y","7",,,,"2105376",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"3","6","Rent-A-Center Panama 15th","6","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8507841917","8507849988","BARCODE       0006/","N","7","N","           0006/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","1358 West 15th Street","Panama City","FL","32401","0","7801869","Y","USA","32401",,"0","Y","0","EST","N","A","6","4","N","Y","13445","ebr006",,,"7670288",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"4","7","Rent-A-Center Milton","7","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8509838232","8509837800","BARCODE       0007/","N","7","N","           0007/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","6542 Caroline Street","Milton","FL","32570","0","7734291","Y","USA","32570",,"0","Y","0","EST","N","A","7","4","N","Y","11319","ebr007",,,"7670288",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"5","10","Rent-A-Center Opp","10","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","3344931920","3344931919","BARCODE       0010/","N","7","N","           0010/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","412 Main Street","Opp","AL","36467","0","7801883","Y","USA","36467",,"0","Y","0","EST","N","A","1","3","N","Y","5758","ebr010",,,"7670288",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"6","14","Rent-A-Center Atmore","14","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","2514939292","2513685690","BARCODE       0014/","N","7","N","           0014/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","145 Lindberg Ave.","Atmore","AL","36502","0","7734029","Y","USA","36502",,"0","Y","0","EST","N","A","2","3","N","Y","1244","ebr014",,,"7670288",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"7","101","DEFUNIAK SPRINGS PDL","1","1","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","1030 H FREEPORT ROAD, HW","Y 331S","FL","32433","0","7736071","Y","USA","32433",,"0","N","0",,"N","A","5","4","N","N","0",,,,"2105376",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"8","106","PANAMA CITY PDL","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"2",,"N","1358 WEST 15TH ST","PANAMA CITY","FL","32406","0","7736071","Y","USA","32406",,"0","N","0",,"N","A","6","4","N","N","0",,,,"2105376",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"9","107","MILTON PDL","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","6544 CAROLINE ST, HWY 90","MILTON","FL","32570","0","7670542","Y","USA","32570",,"0",,"0",,"N","A","7","4","N","N","0",,,,"2105376",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
"10","110","OPP PDL","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","412 MAIN STREET","OPP","AL","36467","0","7670542","Y","USA","36467",,"0",,"0",,"N","A","1","3","N","N","0",,,,"2105376",,"2021-08-24 04:08:21.611425","2021-08-24 04:08:21.611425",,"public"
