inv_serial_nbr_key,inv_alt_id,inv_location_rec_1,inv_status,inv_mk_model_nbr,inv_model_nbr_category,inv_desc
A973V0167,110411,9001,O,ACAMAAMACD125R,A,AIR CONDITIONER
A97461179,110416,9001,O,ACAMAAMACD125R,A,AIR CONDITIONER
1104000198,1104000198,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000206,1104000206,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000302,1104000302,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000363,1104000363,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000497,1104000497,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000500,1104000500,9003,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000506,1104000506,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000706,1104000706,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
1104000814,1104000814,9003,O,ACB&DBWE12A,A,AIR CONDITIONER
1104001303,1104001303,9001,O,ACB&DBWE12A,A,AIR CONDITIONER
KK04522494,111196,9003,O,ACKEN42-70121,A,AIR CONDITIONER
KK04623958,111195,9003,O,ACKEN42-70121,A,AIR CONDITIONER
201-00880,201-00880,9001,O,AOMIS11A-A23N001,A,APPLIANCE OTHER
201-00881,201-00881,9001,O,AOMIS11A-A23N001,A,APPLIANCE OTHER
201-00882,201-00882,9003,O,AOMIS11A-A23N001,A,APPLIANCE OTHER
201-00951,201-00951,1,R,AOMIS11A-A23N001,A,APPLIANCE OTHER
110155,110155,9001,O,AOMIS11A-B29Q711,A,APPLIANCE OTHER
111027,111027,9003,O,AOMIS11A-B29Q711,A,APPLIANCE OTHER
201-00954,201-00954,9001,O,AOMIS13PC COOKWARE,A,APPLIANCE OTHER
201-01108,201-01108,1,N,AOMIS13PC COOKWARE,A,APPLIANCE OTHER
111029,111029,9001,O,AOMIS13WN77KS011,A,APPLIANCE OTHER
300805,300805,9003,O,AOWHI49971,A,APPLIANCE OTHER
101-00320,101-00320,9001,O,AVBIS82G7-1,A,APPLIANCE OTHER
201-00901,201-00901,9001,O,AVBIS95P1,A,VACUUM
201-00902,201-00902,9001,O,AVBIS95P1,A,VACUUM
201-00944,201-00944,9001,O,AVBIS95P1,A,VACUUM
201-00858,201-00858,9001,O,BBSIM44277.60,B,BEDROOM BED
111004,111004,9001,O,BCASHASB258-46,B,BEDROOM CHEST
111220,111220,9001,O,BCDON105 E,B,BEDROOM CHEST
111221,111221,3,N,BCDON105 E,B,BEDROOM CHEST
111222,111222,9001,O,BCDON105 E,B,BEDROOM CHEST
110934,110934,9001,O,BCMITASB-156-46,B,BEDROOM CHEST
110925,110925,9001,O,BCMITASB156-46,B,BEDROOM CHEST
111568,111568,9003,O,BCMITJBB-12-CHEST,B,BEDROOM CHEST
111569,111569,9001,O,BCMITJBB-12-CHEST,B,BEDROOM CHEST
201-01133,201-01133,1,N,BCPER49324,B,BEDROOM CHEST
201-01134,201-01134,1,N,BCPER49324,B,BEDROOM CHEST
110191,110191,9001,O,BCSTD58705,B,BEDROOM CHEST
110192,110192,3,R,BCSTD58705,B,BEDROOM CHEST
110319,110319,9003,O,BCSTD595-05,B,BEDROOM CHEST
110013,110013,9003,O,BCSTD59505,B,BEDROOM CHEST
110014,110014,9001,O,BCSTD59505,B,BEDROOM CHEST
111105,111105,9001,O,BCSTD59505,B,BEDROOM CHEST
203-00050,203-00050,9003,O,BHMITWDH-WPL60.1,B,BEDROOM HEADBOARD
203-00051,203-00051,9003,O,BHMITWDH-WPL60.1,B,BEDROOM HEADBOARD
203-00052,203-00052,3,R,BHMITWDH-WPL60.1,B,BEDROOM HEADBOARD
109870,109870,9003,O,BKDON1110-2DC,B,BUNK BED
101-00507,101-00507,9001,O,BKDON1110-M,B,BUNK BED
201-00760,201-00760,9001,O,BKDON1110-M,B,BUNK BED
201-01276,201-01276,9001,O,BKDON1110-M,B,BUNK BED
201-01277,201-01277,1,N,BKDON1110-M,B,BUNK BED
201-01279,201-01279,1,N,BKDON122-2H,B,BUNK BED
201-01280,201-01280,9001,O,BKDON122-2H,B,BUNK BED
111217,111217,9001,O,BKDON2004 E,B,BUNK BED
111218,111218,9001,O,BKDON2004 E,B,BUNK BED
111219,111219,9001,O,BKDON2004 E,B,BUNK BED
110614,110614,9003,O,BKDON2004E,B,BUNK BED
111436,111436,9001,O,BKDON2004E,B,BUNK BED
111437,111437,9001,O,BKDON2004E,B,BUNK BED
101-00228,101-00228,9001,O,BKDON2004E,B,BUNK BED
101-00229,101-00229,9001,O,BKDON2004E,B,BUNK BED
101-00230,101-00230,1,R,BKDON2004E,B,BUNK BED
101-00509,101-00509,9001,O,BKDON2004E,B,BUNK BED
101-00511,101-00511,9001,O,BKDON2004E,B,BUNK BED
101-00512,101-00512,9001,O,BKDON2004E,B,BUNK BED
201-00762,201-00762,9001,O,BKDON2004E,B,BUNK BED
201-00763,201-00763,9003,O,BKDON2004E,B,BUNK BED
201-01282,201-01282,9001,O,BKDON2004E,B,BUNK BED
201-01283,201-01283,1,N,BKDON2004E,B,BUNK BED
201-00765,201-00765,1,N,BKDON820E,B,BUNK BED
201-00766,201-00766,9003,O,BKDON820E,B,BUNK BED
109800,109800,9001,O,BOASHQ195004Q,B,BEDROOM OTHER
109802,109802,1,R,BOASHQ215015Q,B,BEDROOM OTHER
201-01285,201-01285,1,N,BODON700FH,B,BEDROOM OTHER
201-01286,201-01286,1,N,BODON700FH,B,BEDROOM OTHER
201-01287,201-01287,1,N,BODON700FH,B,BEDROOM OTHER
201-01288,201-01288,1,N,BODON700FH,B,BEDROOM OTHER
101-00094,101-00094,9001,O,BOGIDESTRELLABEIGE,B,OTHER BEDROOM FURNITURE
101-00097,101-00097,1,N,BOGIDESTRELLABURGY,B,OTHER BEDROOM FURNITURE
101-00103,101-00103,3,N,BOGIDHAMPTONSAGEBR,B,OTHER BEDROOM FURNITURE
101-00107,101-00107,9001,O,BOGIDMOROCCOBLACK,B,OTHER BEDROOM FURNITURE
111372,111372,9001,O,BOMIT2501/2502,B,BEDROOM OTHER
111589,111589,9001,O,BOMIT2501/2502,B,BEDROOM OTHER
111590,111590,9001,O,BOMIT2501/2502,B,BEDROOM OTHER
301255,301255,9003,O,BOMIT2501/2502,B,BEDROOM OTHER
301259,301259,9003,O,BOMIT2501/2502,B,BEDROOM OTHER
103-00002,103-00002,9003,O,BOMIT2501/2502,B,OTHER BEDROOM FUNRITURE
103-00003,103-00003,3,R,BOMIT2501/2502,B,OTHER BEDROOM FUNRITURE
201-00547,201-00547,9003,O,BOMIT2501/2502,B,OTHER BEDROOM FUNRITURE
201-00550,201-00550,9001,O,BOMIT2501/2502,B,OTHER BEDROOM FUNRITURE
201-00552,201-00552,9001,O,BOMIT2501/2502,B,OTHER BEDROOM FUNRITURE
111434,111434,9001,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
301261,301261,9003,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
101-00339,101-00339,9001,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
103-00006,103-00006,9003,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
103-00007,103-00007,9003,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
103-00008,103-00008,3,R,BOMITWDH-WMP60/54,B,BEDROOM OTHER
201-00841,201-00841,9001,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
201-00842,201-00842,9001,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
201-00843,201-00843,9001,O,BOMITWDH-WMP60/54,B,BEDROOM OTHER
301228,301228,9003,O,BOMITWDH-WPL 60/5,B,BEDROOM OTHER
111591,111591,9001,O,BOMITWDH-WPL60/54,B,BEDROOM OTHER
301237,301237,9003,O,BOMITWDH-WPL60/54,B,BEDROOM OTHER
301256,301256,9003,O,BOMITWDH-WPL60/54,B,BEDROOM OTHER
109763,109763,9001,O,BOSTABETTER HOMES,B,BEDROOM OTHER
111003,111003,9001,O,BSASHASB258-55/36,B,BEDROOM 4 PC SET
110099,110099,9003,O,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
110451,110451,9001,O,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
201-00524,201-00524,9003,O,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
201-00962,201-00962,3,N,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
201-00963,201-00963,1,N,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
201-00964,201-00964,9001,O,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
201-00965,201-00965,9003,O,BSASHB104-31/36/5,B,BEDROOM 4 PC SET
101-00493,101-00493,9003,O,BSASHB105-31/36/5,B,BEDROOM 4 PC SET
109622,109622,9001,O,BSASHB117-31/36/5,B,BEDROOM 4 PC SET
101-00253,101-00253,9001,O,BSASHB117-31/36/5,B,BEDROOM 4 PC SET
201-00629,201-00629,3,N,BSASHB117-31/36/5,B,BEDROOM 4 PC SET
300990,300990,9003,O,BSASHB125-31/36,B,BEDROOM 4 PC SET
109443,109443,9003,O,BSASHB125-31/36/5,B,BEDROOM 4 PC SET
109388,109388,9003,O,BSASHB128-31/36/7,B,BEDROOM 4 PC SET
111212,111212,9001,O,BSASHB128-31/36/7,B,BEDROOM 4 PC SET
201-01190,201-01190,1,N,BSASHB128-5PC,B,BEDROOM 5 PC SET
201-01191,201-01191,9003,O,BSASHB128-5PC,B,BEDROOM 5 PC SET
109445,109445,9003,O,BSASHB156-31/36/5,B,BEDROOM 4 PC SET
201-01193,201-01193,1,N,BSASHB165-31/36/57,B,BEDROOM 4 PC SET
201-01194,201-01194,1,N,BSASHB165-31/36/57,B,BEDROOM 4 PC SET
201-00631,201-00631,9001,O,BSASHB174-31/36/57,B,BEDROOM 4 PC SET
110450,110450,9001,O,BSASHB185-31/36/5,B,BEDROOM 4 PC SET
111210,111210,1,R,BSASHB185-31/36/5,B,BEDROOM 4 PC SET
111211,111211,9001,O,BSASHB185-31/36/5,B,BEDROOM 4 PC SET
201-00818,201-00818,9001,O,BSASHB185-31/36/57,B,BEDROOM 4 PC SET
201-00819,201-00819,9003,O,BSASHB185-31/36/57,B,BEDROOM 4 PC SET
101-00497,101-00497,9003,O,BSASHB219-31/36/5,B,BEDROOM 4 PC SET
201-01196,201-01196,1,N,BSASHB219-31/36/5,B,BEDROOM 4 PC SET
201-01197,201-01197,1,N,BSASHB219-31/36/5,B,BEDROOM 4 PC SET
110131,110131,9003,O,BSASHB233-21/26/,B,BEDROOM 4 PC SET
110133,110133,1,R,MONTE,M,BEDROOM 4 PC SET
201-00635,201-00635,9003,O,BSASHB258-31/36.1,B,BEDROOM 4 PC SET
111032,111032,9003,O,BSASHB258-31/36/5,B,BEDROOM 4 PC SET
111033,111033,3,R,BSASHB258-31/36/5,B,BEDROOM 4 PC SET
201-00821,201-00821,3,R,BSASHB258-31/36/55,B,BEDROOM 4 PC SET
201-00822,201-00822,9001,O,BSASHB258-31/36/55,B,BEDROOM 4 PC SET
201-00853,201-00853,3,N,BSASHB323-31/36,B,BEDROOM 4 PC SET
108551,108551,9001,O,BSASHB350-31/36/5,B,BEDROOM 4 PC SET
111486,111486,9001,O,BSBER1900M,B,BEDROOM 4 PC SET
111487,111487,9001,O,BSBER1900M,B,BEDROOM 4 PC SET
110881,110881,9001,O,BSMITASB156,B,BEDROOM 4 PC SET
301183,301183,9003,O,BSMITASB156,B,BEDROOM 4 PC SET
201-00643,201-00643,9001,O,BSMITASB219 DR/MR,B,BEDROOM 4 PC SET
111565,111565,9001,O,BSMITJBB-12-FM375,B,BEDROOM 5 PC SET
111566,111566,3,N,BSMITJBB-12-FM375,B,BEDROOM 5 PC SET
111567,111567,9003,O,BSMITJBB-12-FM375,B,BEDROOM 5 PC SET
110735,110735,9003,O,BSMITJBB-12-MT100,B,BEDROOM 4 PC SET
110737,110737,9003,O,BSMITJBB-12-MT100,B,BEDROOM 4 PC SET
111304,111304,9001,O,BSMITJBB-12-MT100,B,BEDROOM 4 PC SET
111379,111379,9001,O,BSMITJBB-12MT100A,B,BEDROOM 4 PC SET
301225,301225,9003,O,BSMITJBB12MT100,B,BEDROOM 4 PC SET
201-00869,201-00869,1,N,BSPER49000,B,BEDROOM 4 PC SET
201-00870,201-00870,9001,O,BSPER49000,B,BEDROOM 4 PC SET
201-00871,201-00871,9003,O,BSPER49000,B,BEDROOM 4 PC SET
201-00873,201-00873,1,N,BSPER61000,B,BEDROOM 4 PC SET
111445,111445,9003,O,BSPER6586,B,BEDROOM 4 PC SET
201-00875,201-00875,3,N,BSPER75000,B,BEDROOM 5 PC SET
201-00876,201-00876,9001,O,BSPER75000,B,BEDROOM 5 PC SET
201-01110,201-01110,1,N,BSPER75000,B,BEDROOM 5 PC SET
101-00201,101-00201,9001,O,BSPRO1253,B,BEDROOM 4 PC SET
300935,300935,9001,O,BSPRO31383-23/50/,B,BEDROOM 4 PC SET
300931,300931,9001,O,BSPRO31387-23/50/,B,BEDROOM 4 PC SET
300932,300932,3,R,BSPRO31387-23/50/,B,BEDROOM 4 PC SET
301104,301104,9003,O,BSPRO61639-23-50-,B,BEDROOM 4 PC SET
101-00203,101-00203,9001,O,BSPROP611,B,BEDROOM 4 PC SET
101-00204,101-00204,9003,O,BSPROP611,B,BEDROOM 4 PC SET
201-00933,201-00933,9001,O,BSSTA61150,B,BEDROOM 4 PC SET
201-00935,201-00935,1,N,BSSTA62750,B,BEDROOM 4 PC SET
201-00936,201-00936,9001,O,BSSTA62750,B,BEDROOM 4 PC SET
110396,110396,9001,O,BSSTD4000-09/18/0,B,BEDROOM 4 PC SET
109874,109874,9003,O,BSSTD511-09/18/01,B,BEDROOM 4 PC SET
110168,110168,9001,O,BSSTD539-59/68/52,B,BEDROOM 4 PC SET
101-00499,101-00499,9001,O,BSSTD545-59/68/52,B,BEDROOM 4 PC SET
111237,111237,9003,O,BSSTD562-02/18/01,B,BEDROOM 4 PC SET
111394,111394,9003,O,BSSTD566-59/68/51,B,BEDROOM 4 PC SET
201-00526,201-00526,3,R,BSSTD566-59/68/51,B,BEDROOM 4 PC SET
201-00527,201-00527,9001,O,BSSTD566-59/68/51,B,BEDROOM 4 PC SET
110029,110029,9001,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
110183,110183,9003,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
110184,110184,9003,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
110185,110185,9001,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
111059,111059,9001,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
101-00501,101-00501,9001,O,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
101-00502,101-00502,3,R,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
201-00938,201-00938,1,N,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
201-00939,201-00939,1,N,BSSTD587-09/18/01,B,BEDROOM 4 PC SET
110011,110011,9003,O,BSSTD595-09/18/01,B,BEDROOM 4 PC SET
110317,110317,9003,O,BSSTD595-09/18/01,B,BEDROOM 4 PC SET
110397,110397,9001,O,BSSTD595-09/18/01,B,BEDROOM 4 PC SET
110398,110398,1,R,MONTE,M,BEDROOM 4 PC SET
111395,111395,9001,O,BSSTD613-09/18/01,B,BEDROOM 4 PC SET
110395,110395,3,R,BSSTD6400-09/18/0,B,BEDROOM 4 PC SET
